employee_id,review_period,overall_rating,goal_completion_pct,manager_notes,throughput_consistency,scope_of_impact,cycle_time,change_failure_rate,review_influence_index,ai_tool_penetration,slo_health,knowledge_contribution_rate,say_do_ratio,innovation_vs_maintenance_ratio
E062,2025-Q4,3.5,100.0,Good progress this quarter. Met key commitments and is developing well in the role.,0.813,7.0,3.3,6.4,10.0,,,,,
E062,2026-Q1,3.5,73.6,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.804,8.0,3.7,17.1,10.0,,,,,
E063,2025-Q3,3.0,65.6,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.905,7.0,6.2,6.6,10.0,,,,,
E063,2025-Q4,3.0,87.7,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.825,2.0,4.3,12.7,13.0,,,,,
E063,2026-Q1,3.5,69.3,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.88,8.0,2.6,8.7,12.0,,,,,
E064,2025-Q3,3.5,67.2,Good progress this quarter. Met key commitments and is developing well in the role.,0.849,6.0,4.3,7.4,11.0,,,,,
E064,2025-Q4,3.5,79.6,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.845,7.0,2.2,10.1,11.0,,,,,
E064,2026-Q1,3.5,89.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.766,7.0,5.1,9.2,10.0,,,,,
E065,2025-Q3,4.0,95.5,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.934,7.0,1.2,9.1,17.0,,,,,
E065,2025-Q4,4.5,87.0,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.998,11.0,2.4,4.2,18.0,,,,,
E065,2026-Q1,4.5,85.1,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.976,9.0,3.8,5.6,15.0,,,,,
E066,2025-Q3,4.0,80.8,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,66.1,99.05,7.0,85.5,0.29
E066,2025-Q4,3.5,73.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,56.9,98.29,7.0,94.4,1.12
E066,2026-Q1,4.0,91.8,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,64.7,99.25,10.0,84.8,1.23
E067,2025-Q3,3.0,87.3,Good progress this quarter. Met key commitments and is developing well in the role.,,,,,,62.2,97.35,7.0,87.3,1.69
E067,2025-Q4,3.5,83.9,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,,,,,,55.5,96.76,6.0,84.0,0.59
E067,2026-Q1,3.5,96.5,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,,,,,,71.4,95.55,10.0,103.9,1.07
E068,2025-Q3,3.5,65.9,Good progress this quarter. Met key commitments and is developing well in the role.,0.812,7.0,2.8,10.3,15.0,,,,,
E068,2025-Q4,3.5,72.9,Good progress this quarter. Met key commitments and is developing well in the role.,0.757,6.0,4.2,4.0,13.0,,,,,
E068,2026-Q1,3.5,73.4,Good progress this quarter. Met key commitments and is developing well in the role.,0.919,7.0,4.9,10.6,8.0,,,,,
E069,2025-Q3,2.0,65.2,Showing improvement from last period. Needs continued coaching on estimation and scope management.,0.707,4.0,6.0,15.9,7.0,,,,,
E069,2025-Q4,1.5,67.5,Significant concerns this quarter. Needs immediate improvement in delivery and collaboration.,0.654,4.0,7.4,11.9,0.0,,,,,
E069,2026-Q1,2.5,54.6,Mixed results this quarter. Bright spots but missed some key delivery milestones. Action plan in place.,0.831,4.0,4.7,10.8,4.0,,,,,
E070,2025-Q3,4.0,93.9,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.89,6.0,6.3,2.7,18.0,,,,,
E070,2025-Q4,4.0,78.7,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.876,6.0,2.5,7.1,10.0,,,,,
E070,2026-Q1,3.5,79.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.827,5.0,3.8,14.7,12.0,,,,,
E071,2025-Q3,3.5,67.8,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.832,7.0,3.6,11.4,8.0,,,,,
E071,2025-Q4,3.5,77.3,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.833,6.0,4.7,6.5,13.0,,,,,
E071,2026-Q1,3.5,81.3,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.843,8.0,4.7,7.8,12.0,,,,,
E072,2025-Q3,4.5,83.3,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,56.9,98.76,14.0,103.4,0.83
E072,2025-Q4,4.0,88.2,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,64.0,97.06,9.0,97.6,0.73
E072,2026-Q1,4.0,77.1,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,70.4,98.28,11.0,96.7,1.14
E073,2025-Q3,3.0,75.3,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.793,9.0,5.1,8.6,11.0,,,,,
E073,2025-Q4,3.0,64.8,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.815,4.0,7.6,12.5,6.0,,,,,
E073,2026-Q1,3.5,87.3,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.864,9.0,5.3,8.6,10.0,,,,,
E074,2025-Q3,3.5,85.8,Good progress this quarter. Met key commitments and is developing well in the role.,0.826,7.0,5.0,4.7,7.0,,,,,
E074,2025-Q4,4.0,67.2,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.92,7.0,6.4,5.3,15.0,,,,,
E074,2026-Q1,3.5,82.9,Good progress this quarter. Met key commitments and is developing well in the role.,0.842,8.0,3.6,9.6,14.0,,,,,
E075,2025-Q3,4.0,100.0,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.872,5.0,2.9,8.8,15.0,,,,,
E075,2025-Q4,4.0,79.0,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.849,9.0,8.7,7.9,15.0,,,,,
E075,2026-Q1,4.0,73.5,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.88,6.0,2.2,12.0,14.0,,,,,
E076,2025-Q3,3.5,79.5,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.913,6.0,5.9,8.1,10.0,,,,,
E076,2025-Q4,3.0,60.2,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.807,6.0,3.9,10.5,10.0,,,,,
E076,2026-Q1,3.0,68.7,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.839,4.0,6.0,13.7,12.0,,,,,
E077,2025-Q3,3.5,78.3,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,,,,,,55.0,98.06,9.0,97.5,1.27
E077,2025-Q4,4.0,88.8,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,73.0,97.03,6.0,108.3,1.09
E077,2026-Q1,3.5,76.3,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,,,,,,66.2,97.16,7.0,103.7,0.86
E078,2025-Q3,3.0,77.7,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.845,7.0,6.1,12.1,9.0,,,,,
E078,2025-Q4,3.5,82.9,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.876,8.0,5.9,8.8,9.0,,,,,
E078,2026-Q1,3.5,81.8,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.975,6.0,5.7,11.9,12.0,,,,,
E079,2025-Q3,3.0,73.0,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.836,4.0,5.3,11.3,12.0,,,,,
E079,2025-Q4,2.5,80.1,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.758,9.0,7.1,10.3,5.0,,,,,
E079,2026-Q1,2.5,77.5,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.757,5.0,6.4,14.7,5.0,,,,,
E080,2025-Q3,3.0,77.8,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.837,4.0,6.8,8.4,8.0,,,,,
E080,2025-Q4,3.0,86.4,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.852,6.0,7.7,19.0,4.0,,,,,
E080,2026-Q1,3.0,71.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.766,5.0,4.0,11.6,10.0,,,,,
E081,2025-Q3,3.0,80.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.85,5.0,9.0,11.3,4.0,,,,,
E081,2025-Q4,3.0,62.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.814,5.0,8.8,12.2,12.0,,,,,
E081,2026-Q1,3.0,68.0,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.822,6.0,3.0,10.1,10.0,,,,,
E082,2025-Q3,4.0,81.5,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,64.6,98.11,11.0,104.6,0.9
E082,2025-Q4,4.0,91.5,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,70.9,97.48,11.0,103.8,1.45
E082,2026-Q1,4.5,87.1,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,72.1,98.38,9.0,87.6,0.81
E083,2025-Q3,4.0,88.7,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,,,,,,59.6,96.68,10.0,97.2,1.2
E083,2025-Q4,4.5,96.2,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,63.4,96.96,14.0,92.1,0.41
E083,2026-Q1,4.0,87.3,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,,,,,,58.8,97.63,12.0,89.6,0.51
E084,2025-Q3,2.5,73.9,Mixed results this quarter. Bright spots but missed some key delivery milestones. Action plan in place.,0.696,3.0,6.4,16.0,4.0,,,,,
E084,2025-Q4,2.5,75.4,Working to build consistency in delivery. Has potential but needs to focus on execution and follow-through.,0.656,6.0,4.7,13.5,8.0,,,,,
E084,2026-Q1,3.0,80.4,Good progress this quarter. Met key commitments and is developing well in the role.,0.781,6.0,5.5,12.0,12.0,,,,,
E085,2025-Q3,3.0,74.3,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.728,5.0,6.4,7.3,11.0,,,,,
E085,2025-Q4,3.5,83.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.801,9.0,4.3,2.7,15.0,,,,,
E085,2026-Q1,3.0,84.8,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.834,6.0,6.3,12.7,16.0,,,,,
E086,2025-Q3,4.0,75.4,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,0.967,9.0,3.8,10.3,16.0,,,,,
E086,2025-Q4,4.5,88.0,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.93,8.0,3.0,2.2,7.0,,,,,
E086,2026-Q1,4.0,91.0,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,1.0,8.0,6.3,7.6,16.0,,,,,
E087,2025-Q3,2.5,81.0,Showing improvement from last period. Needs continued coaching on estimation and scope management.,0.778,5.0,7.0,11.6,9.0,,,,,
E087,2025-Q4,3.0,73.8,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.883,7.0,5.8,3.4,11.0,,,,,
E087,2026-Q1,2.5,81.8,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.783,6.0,5.1,7.8,8.0,,,,,
E088,2025-Q3,3.5,78.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,,,,,,82.1,98.5,10.0,99.3,1.74
E088,2025-Q4,3.5,65.6,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,,,,,,58.5,98.47,6.0,91.1,0.98
E088,2026-Q1,4.0,94.0,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,71.0,97.96,10.0,86.5,0.23
E089,2025-Q3,3.5,84.6,Good progress this quarter. Met key commitments and is developing well in the role.,0.925,9.0,7.5,5.7,10.0,,,,,
E089,2025-Q4,3.5,100.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.921,6.0,3.8,11.1,8.0,,,,,
E089,2026-Q1,3.5,81.1,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.945,6.0,1.4,10.2,9.0,,,,,
E090,2025-Q3,3.5,81.3,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.905,4.0,4.3,10.8,10.0,,,,,
E090,2025-Q4,3.5,87.3,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.921,6.0,2.2,10.8,7.0,,,,,
E090,2026-Q1,4.0,80.9,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.888,7.0,3.4,8.6,12.0,,,,,
E091,2025-Q3,3.5,84.2,Good progress this quarter. Met key commitments and is developing well in the role.,0.83,5.0,2.6,9.6,10.0,,,,,
E091,2025-Q4,2.5,65.7,Developing in the role. Good technical skills but needs support in communication and planning accuracy.,0.854,2.0,4.3,15.8,12.0,,,,,
E091,2026-Q1,3.0,70.9,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.851,2.0,3.0,9.8,14.0,,,,,
E092,2025-Q3,4.0,88.8,Exceptional performance — drove several critical initiatives and demonstrated strong leadership presence.,1.0,7.0,4.4,12.3,9.0,,,,,
E092,2025-Q4,4.0,79.9,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.915,7.0,3.0,3.9,14.0,,,,,
E092,2026-Q1,4.5,93.0,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.984,7.0,4.8,7.4,23.0,,,,,
E093,2025-Q3,4.0,84.3,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,72.2,98.98,8.0,92.8,1.19
E093,2025-Q4,4.0,84.7,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,,,,,,74.0,97.27,6.0,80.7,0.56
E093,2026-Q1,4.0,86.8,One of our top contributors. Showed great initiative and helped unblock multiple teams.,,,,,,56.5,97.16,8.0,92.5,1.46
E094,2025-Q3,3.5,82.1,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.843,7.0,6.0,6.0,12.0,,,,,
E094,2025-Q4,3.5,83.7,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.903,6.0,7.8,6.1,12.0,,,,,
E094,2026-Q1,4.0,87.2,Remarkable quarter. Exceeded every target and showed the kind of impact we expect at the next level.,0.915,9.0,6.5,6.8,16.0,,,,,
E095,2025-Q3,3.5,88.1,Good progress this quarter. Met key commitments and is developing well in the role.,0.827,8.0,8.4,8.3,5.0,,,,,
E095,2025-Q4,3.5,91.9,Performing well. Delivered on goals and showing good growth. Continue building stakeholder visibility.,0.877,8.0,5.8,12.4,14.0,,,,,
E095,2026-Q1,4.0,90.9,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,0.955,7.0,3.5,11.9,14.0,,,,,
E096,2025-Q3,4.5,95.0,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.956,11.0,4.5,0.0,15.0,,,,,
E096,2025-Q4,5.0,98.3,One of our top contributors. Showed great initiative and helped unblock multiple teams.,0.91,12.0,4.0,2.8,16.0,,,,,
E096,2026-Q1,5.0,95.7,Outstanding quarter. Consistently raised the bar and delivered exceptional results across all commitments.,1.0,10.0,3.2,2.5,21.0,,,,,
E097,2025-Q3,3.0,63.0,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.851,6.0,6.5,11.8,9.0,,,,,
E097,2025-Q4,3.0,75.6,Strong core contributor. Delivered well against commitments. Opportunity to deepen technical leadership.,0.804,9.0,3.2,12.1,4.0,,,,,
E097,2026-Q1,3.0,72.5,Solid quarter with consistent delivery. Recommend focusing on cross-team influence to grow further.,0.716,6.0,5.2,4.3,12.0,,,,,
